Epoch,Train Loss,Val Loss,Mean Pixel Accuracy,Mean IoU,Mean Dice Score,Per-class IoU,Per-class Dice
67,0.534050179379327,0.5138234694798788,"tensor(0.9580, device='cuda:0')",0.4362291693687439,0.5419961214065552,"[0.9622781872749329, 0.40048667788505554, 0.12245363742113113, 0.2596982717514038]","[0.980758786201477, 0.5714602470397949, 0.21429668366909027, 0.40146875381469727]"
68,0.5505669491631644,0.5712715850936042,"tensor(0.9591, device='cuda:0')",0.4009193480014801,0.48782044649124146,"[0.9630478024482727, 0.4053708612918854, 0.0692850649356842, 0.16597361862659454]","[0.9811623096466064, 0.5763691067695618, 0.12801314890384674, 0.26573729515075684]"
69,0.554573575087956,0.5281504525078667,"tensor(0.9551, device='cuda:0')",0.42826056480407715,0.5308627486228943,"[0.9593446850776672, 0.4050632119178772, 0.09981868416070938, 0.2488156110048294]","[0.9792349338531494, 0.5759324431419373, 0.18001297116279602, 0.38827061653137207]"
70,0.5453163649354662,0.5138460165924497,"tensor(0.9604, device='cuda:0')",0.43703794479370117,0.5431439280509949,"[0.9645423889160156, 0.4112200140953064, 0.12677112221717834, 0.24561816453933716]","[0.9819382429122925, 0.5821824073791504, 0.22281557321548462, 0.3856394290924072]"
71,0.5327172696590423,0.529165569278929,"tensor(0.9578, device='cuda:0')",0.4298310875892639,0.5321580171585083,"[0.9626242518424988, 0.4098187983036041, 0.14203862845897675, 0.2048427164554596]","[0.9809421896934509, 0.5799892544746399, 0.24267536401748657, 0.3250252604484558]"
72,0.5401566820485252,0.5424337122175429,"tensor(0.9572, device='cuda:0')",0.41814786195755005,0.5158779621124268,"[0.9625426530838013, 0.399665504693985, 0.12176118046045303, 0.1886221468448639]","[0.9808992743492126, 0.5703337788581848, 0.21437571942806244, 0.29790300130844116]"
73,0.5389574791703905,0.5090205702516768,"tensor(0.9606, device='cuda:0')",0.4429393410682678,0.5486754179000854,"[0.9647256135940552, 0.4288918972015381, 0.14007814228534698, 0.23806174099445343]","[0.982035756111145, 0.5992797017097473, 0.24061539769172668, 0.37277066707611084]"
74,0.5474630415439605,0.5296769771311018,"tensor(0.9606, device='cuda:0')",0.4251156151294708,0.5249776840209961,"[0.9652636051177979, 0.4046907126903534, 0.10812614858150482, 0.22238199412822723]","[0.9823085069656372, 0.5750879049301147, 0.19269733130931854, 0.34981703758239746]"
75,0.5401905885764531,0.5450493726465437,"tensor(0.9526, device='cuda:0')",0.41515493392944336,0.515128493309021,"[0.9586094617843628, 0.3909088671207428, 0.11499594151973724, 0.19610542058944702]","[0.9788485765457153, 0.5611737966537476, 0.20433571934700012, 0.3161558210849762]"
76,0.5293518466608865,0.5256894561979506,"tensor(0.9566, device='cuda:0')",0.43063175678253174,0.5334467887878418,"[0.9607256650924683, 0.41413334012031555, 0.10478613525629044, 0.24288198351860046]","[0.9799554944038391, 0.5846260190010071, 0.18720707297325134, 0.3819985091686249]"
